AGYSUB,AGYSUBT
AF02,AIR FORCE INSPECTION AGENCY (FO)
AF03,AIR FORCE OPERATIONAL TEST AND EVALUATION CENTER
AF06,AIR FORCE AUDIT AGENCY
AF07,AIR FORCE OFFICE OF SPECIAL INVESTIGATIONS
AF09,AIR FORCE PERSONNEL CENTER
AF0B,U.S. AIR FORCE ACADEMY
AF0D,"U.S. AIR FORCES, EUROPE"
AF0J,AIR EDUCATION AND TRAINING COMMAND
AF0M,"HEADQUARTERS, AIR FORCE RESERVE COMMAND"
AF0R,PACIFIC AIR FORCES
AF0U,25 AF
AF0V,AIR FORCE SPECIAL OPERATIONS COMMAND
AF12,AIR FORCE PUBLIC AFFAIRS AGENCY
AF13,HQ USAF AND SUPPORT ELEMENTS
AF16,AIR FORCE MORTUARY AFFAIRS OPERATIONS
AF1B,AIR FORCE MANPOWER ANALYSIS AGENCY
AF1C,AIR COMBAT COMMAND
AF1L,AIR MOBILITY COMMAND
AF1M,AIR FORCE MATERIEL COMMAND
AF1Q,HQ AF FLIGHT STANDARDS AGENCY
AF1S,"HEADQUARTERS, AIR FORCE SPACE COMMAND"
AF1Y,AIR FORCE CIVILIAN CAREER TRAINING
AF20,AIR FORCE AGENCY FOR MODELING/SIMULATION
AF2A,AIR FORCE COST ANALYSIS AGENCY
AF2E,AIR FORCE LEGAL OPERATIONS AGENCY
AF2F,AIR FORCE MEDICAL SUPPORT AGENCY
AF2H,AIR FORCE OPERATIONS GROUP
AF2I,AIR NATIONAL GUARD SUPPORT CENTER
AF2K,AIR FORCE HISTORICAL RESEARCH AGENCY
AF2L,AIR FORCE TECHNICAL APPLICATIONS CENTER
AF2M,AIR FORCE REVIEW BOARDS AGENCY
AF2R,AIR FORCE PROGRAM EXECUTIVE OFFICE
AF2S,AIR FORCE ELEMENTS NORAD
AF2T,AIR FORCE SAFETY CENTER
AF2Z,AF MEDICAL READINESS AGENCY
AF34,AIR NATIONAL GUARD
AF38,AFELM JCS
AF3C,"AIR FORCE ELEMENTS, U.S. CENTRAL COMMAND"
AF3D,"AIR FORCE ELEMENTS, U.S. SPECIAL OPERATIONS COMMAND"
AF3G,"AIR FORCE ELEMENTS, NATO"
AF3Q,"AIR FORCE ELEMENTS, U.S. STRATEGIC COMMAND"
AF3T,"AIR FORCE ELEMENTS, U.S. TRANSPORTATION COMMAND"
AF3V,AIR FORCE ELEMENTS
AF40,NATIONAL AIR AND SPACE INTELLIGENCE CENTER
AF4C,AFELM US CYBER COMMAND
AF4D,U.S. NORTHERN COMMAND
AF4F,HQ US SPACE FORCE
AF4G,UNITED STATES SPACE FORCE
AF4S,AFELM US SPACE COMMAND
AF4V,NON-DOD AND OTHER SUPPORT
AF4W,AIR FORCE DISTRICT OF WASHINGTON
AF5D,DEFENSE CYBER CRIME CENTER
AF6F,UNITED STATES SPACE FORCE FORCES
AFGS,AIR FORCE GLOBAL STRIKE COMMAND
AFNG,AIR NATIONAL GUARD UNITS (TITLE 32/TITLE 5)
AFZG,"U.S. SPECIAL OPERATIONS COMMAND (ANG, TITLE 32/TITLE 5)"
AG01,OFFICE OF THE SECRETARY OF AGRICULTURE
AG02,AGRICULTURAL MARKETING SERVICE
AG03,AGRICULTURAL RESEARCH SERVICE
AG07,RURAL DEVELOPMENT
AG08,RISK MANAGEMENT AGENCY
AG10,FOREIGN AGRICULTURAL SERVICE
AG11,FOREST SERVICE
AG13,OFFICE OF COMMUNICATIONS
AG14,OFFICE OF THE GENERAL COUNSEL
AG15,RURAL UTILITIES SERVICE
AG16,NATURAL RESOURCES CONSERVATION SERVICE
AG18,ECONOMIC RESEARCH SERVICE
AG20,NATIONAL AGRICULTURAL STATISTICS SERVICE
AG22,NATIONAL INSTITUTE OF FOOD AND AGRICULTURE
AG23,OFFICE OF THE INSPECTOR GENERAL
AG30,FOOD AND NUTRITION SERVICE
AG34,ANIMAL AND PLANT HEALTH INSPECTION SERVICE
AG37,FOOD SAFETY AND INSPECTION SERVICE
AG38,OFFICE OF THE CHIEF ECONOMIST
AG42,OFFICE OF BUDGET AND PROGRAM ANALYSIS
AG90,OFFICE OF THE CHIEF FINANCIAL OFFICER
AG99,FPAC BUSINESS CENTER
AGAO,OFFICE OF ADVOCACY AND OUTREACH
AGCR,CIVIL RIGHTS
AGDA,DEPARTMENTAL ADMINISTRATION
AGFA,FARM SERVICE AGENCY
AGHL,HOMELAND SECURITY STAFF
AGIT,OFFICE OF THE CHIEF INFORMATION OFFICER
AGNA,NATIONAL APPEALS DIVISION
AR2A,UNITED STATES ARMY CYBER COMMAND
AR3A,U.S. ARMY CENTRAL
AR5A,U.S. ARMY NORTH
ARA1,US ARMY AFRICA/SOUTHERN EUROPEAN TASK FORCE (USAFRAF/SETAF)
ARAE,U.S. ARMY ACQUISITION SUPPORT CENTER
ARAF,UNITED STATES ARMY FUTURES COMMAND
ARAN,U.S. ARMY NATIONAL MILITARY CEMETERIES
ARAP,U. S. MILITARY ENTRANCE PROCESSING COMMAND
ARAS,U.S. ARMY INTELLIGENCE AND SECURITY COMMAND
ARAT,U.S. ARMY TEST AND EVALUATION COMMAND
ARCB,U.S. ARMY CRIMINAL INVESTIGATION COMMAND
ARCE,U.S. ARMY CORPS OF ENGINEERS
ARCH,US ARMY CIVILIAN HUMAN RESOURCES AGENCY
ARCS,IMMEDIATE OFFICE OF THE CHIEF OF STAFF OF THE ARMY
ARE1,IMMEDIATE OFFICE OF THE COMMANDER-IN-CHIEF OF THE U.S. ARMY EUROPE AND SEVENTH ARMY
ARE2,21ST THEATER SUSTAINMENT COMMAND (TSC)
ARE3,UNITED STATES ARMY EUROPE AND AFRICA
ARE5,U.S. ARMY V CORPS
AREN,SEVENTH ARMY TRAINING COMMAND
ARFC,U.S. ARMY FORCES COMMAND
ARGB,OFFICE OF THE CHIEF OF THE NATIONAL GUARD BUREAU
ARHC,US ARMY HUMAN RESOURCES COMMAND (DRU)
ARHR,U.S. ARMY RESERVE COMMAND
ARJ1,U.S. ARMY ELEMENT SHAPE
ARJA,JOINT ACTIVITIES
ARMA,U.S. MILITARY ACADEMY
ARMC,U.S. ARMY MEDICAL COMMAND
ARMW,U.S. ARMY MILITARY DISTRICT OF WASHINGTON
ARNG,ARMY NATIONAL GUARD UNITS (TITLE 32/TITLE 5)
ARP1,"U.S. ARMY, PACIFIC"
ARSA,OFFICE OF THE SECRETARY OF THE ARMY
ARSB,FIELD OPERATING OFFICES OF THE OFFICE OF THE SECRETARY OF THE ARMY
ARSC,U. S. ARMY SPACE AND MISSILE DEFENSE COMMAND/U. S. ARMY FORCES STRATEGIC COMMAND
ARSE,HQDA FIELD OPERATING AGENCIES AND STAFF SUPPORT AGENCIES AND STAFF SUPPORT AGENCIES
ARSJ,"JOINT SERVICES AND ACTIVITIES SUPPORTED BY THE OFFICE, SECRETARY OF THE ARMY"
ARSO,U.S. ARMY SOUTH
ARSP,U.S. SPECIAL OPERATIONS COMMAND (ARMY)
ARTA,U.S. ARMY RECRUITING COMMAND AND U.S. ARMY CADET COMMAND
ARTC,U.S. ARMY TRAINING AND DOCTRINE COMMAND
ARTW,U.S. ARMY WAR COLLEGE
ARX2,"HEADQUARTERS, AMC"
ARX6,U.S. ARMY AVIATION AND MISSILE COMMAND
ARX7,U.S. ARMY TANK-AUTOMOTIVE AND ARMAMENT COMMAND (TACOM)
ARX8,U.S. ARMY COMMUNICATIONS ELECTRONICS COMMAND
ARX9,UNITED STATES ARMY MEDICAL LOGISTICS COMMAND
ARXA,UNITED STATES ARMY INSTALLATION MANAGEMENT COMMAND
ARXB,U.S. ARMY CHEMICAL MATERIALS ACTIVITY
ARXC,U.S. ARMY SUSTAINMENT COMMAND
ARXD,U. S. ARMY CONTRACTING COMMAND
ARXF,UNITED STATES ARMY FINANCIAL MANAGEMENT COMMAND
ARXG,UNITED STATES ARMY PRINT AND MEDIA DISTRIBUTION CENTER
ARXK,MATERIEL ACQUISITION ACTIVITIES
ARXP,U.S. ARMY SECURITY ASSISTANCE COMMAND
ARXQ,U.S. ARMY JOINT MUNITIONS COMMAND
ARXT,U.S. ARMY MILITARY SURFACE DEPLOYMENT AND DISTRIBUTION COMMAND
ARXX,MATERIEL READINESS ACTIVITIES
CM51,OFFICE OF THE SECRETARY
CM52,ECONOMIC DEVELOPMENT ADMINISTRATION
CM53,BUREAU OF ECONOMIC ANALYSIS
CM54,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION
CM55,INTERNATIONAL TRADE ADMINISTRATION
CM56,PATENT AND TRADEMARK OFFICE
CM57,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY
CM59,MINORITY BUSINESS DEVELOPMENT AGENCY
CM61,NATIONAL TELECOMMUNICATIONS AND INFORMATION ADMINISTRATION
CM62,NATIONAL TECHNICAL INFORMATION SERVICE
CM63,U.S. CENSUS BUREAU
CM64,OFFICE OF THE INSPECTOR GENERAL
CM67,BUREAU OF INDUSTRY AND SECURITY
DD**,UNSPECIFIED
DD01,OFFICE OF THE SECRETARY OF DEFENSE
DD02,ORGANIZATION OF THE JOINT CHIEFS OF STAFF
DD04,DEFENSE INFORMATION SYSTEMS AGENCY
DD06,DEFENSE SECURITY COOPERATION AGENCY
DD07,DEFENSE LOGISTICS AGENCY
DD08,U.S. COURT OF APPEALS FOR THE ARMED FORCES
DD10,DEFENSE CONTRACT AUDIT AGENCY
DD12,DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY
DD13,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY
DD15,UNIFORMED SERVICES UNIVERSITY OF THE HEALTH SCIENCES
DD16,DEPARTMENT OF DEFENSE EDUCATION ACTIVITY
DD21,WASHINGTON HEADQUARTERS SERVICES
DD23,OFFICE OF ECONOMIC ADJUSTMENT
DD25,DEFENSE LEGAL SERVICES AGENCY
DD26,OFFICE OF THE INSPECTOR GENERAL
DD27,MISSILE DEFENSE AGENCY
DD29,DEFENSE TECHNOLOGY SECURITY ADMINISTRATION
DD34,DEFENSE COMMISSARY AGENCY
DD35,DEFENSE FINANCE AND ACCOUNTING SERVICE
DD48,DEFENSE HUMAN RESOURCES ACTIVITY
DD53,DEFENSE POW/MIA ACCOUNTING AGENCY
DD60,DEFENSE HEALTH AGENCY
DD61,DEFENSE THREAT REDUCTION AGENCY
DD63,DEFENSE CONTRACT MANAGEMENT AGENCY
DD65,PENTAGON FORCE PROTECTION AGENCY
DD68,DEPARTMENT OF DEFENSE TEST RESOURCE MANAGEMENT CENTER
DD69,NATIONAL DEFENSE UNIVERSITY
DD71,DEFENSE MICROELECTRONICS ACTIVITY
DD74,DEFENSE TECHNICAL INFORMATION CENTER
DD80,DEFENSE MEDIA ACTIVITY
DD81,DEFENSE ACQUISITION UNIVERSITY
DD82,NATIONAL RECONNAISSANCE OFFICE
DD83,MILITARY TREATMENT FACILITIES UNDER DHA
DD84,SPACE DEVELOPMENT AGENCY
DJ01,"OFFICES, BOARDS AND DIVISIONS"
DJ02,FEDERAL BUREAU OF INVESTIGATION
DJ03,BUREAU OF PRISONS/FEDERAL PRISON SYSTEM
DJ06,DRUG ENFORCEMENT ADMINISTRATION
DJ07,OFFICE OF JUSTICE PROGRAMS
DJ08,U.S. MARSHALS SERVICE
DJ09,EXECUTIVE OFFICE FOR U.S. ATTORNEYS AND THE OFFICES OF THE U.S. ATTORNEYS
DJ10,OFFICE OF THE INSPECTOR GENERAL
DJ11,U.S. TRUSTEE PROGRAM
DJ12,EXECUTIVE OFFICE FOR IMMIGRATION REVIEW
DJ14,COMMUNITY RELATIONS SERVICE
DJ15,"BUREAU OF ALCOHOL, TOBACCO, FIREARMS, AND EXPLOSIVES"
DLAA,OFFICE OF THE SECRETARY OF LABOR
DLAM,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT
DLBL,BUREAU OF INTERNATIONAL LABOR AFFAIRS
DLCA,OFFICE OF CONGRESSIONAL AND INTERGOVERNMENTAL AFFAIRS
DLCF,OFFICE OF THE CHIEF FINANCIAL OFFICER
DLEH,OFFICE OF DISABILITY EMPLOYMENT POLICY
DLET,EMPLOYMENT AND TRAINING ADMINISTRATION
DLIG,OFFICE OF THE INSPECTOR GENERAL
DLLS,BUREAU OF LABOR STATISTICS
DLMS,MINE SAFETY AND HEALTH ADMINISTRATION
DLOF,OFFICE OF FEDERAL CONTRACT COMPLIANCE PROGRAMS
DLOL,OFFICE OF LABOR-MANAGEMENT STANDARDS
DLOW,OFFICE OF WORKERS' COMPENSATION PROGRAMS
DLPA,OFFICE OF PUBLIC AFFAIRS
DLPE,OFFICE OF THE ASSISTANT SECRETARY FOR POLICY
DLPW,EMPLOYEE BENEFITS SECURITY ADMINISTRATION
DLSH,OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION
DLSL,OFFICE OF THE SOLICITOR
DLVE,VETERANS EMPLOYMENT AND TRAINING SERVICES
DLWB,WOMEN'S BUREAU
DLWH,WAGE AND HOUR DIVISION
DN00,DEPARTMENT OF ENERGY
DNFE,FEDERAL ENERGY REGULATORY COMMISSION
EDEA,IMMEDIATE OFFICE OF THE SECRETARY OF EDUCATION
EDEC,OFFICE FOR CIVIL RIGHTS
EDED,"OFFICE OF PLANNING, EVALUATION AND POLICY DEVELOPMENT"
EDEE,OFFICE OF THE UNDER SECRETARY
EDEF,OFFICE OF INSPECTOR GENERAL
EDEG,OFFICE OF THE GENERAL COUNSEL
EDEH,OFFICE OF SPECIAL EDUCATION AND REHABILITATIVE SERVICES
EDEI,OFFICE OF THE CHIEF INFORMATION OFFICER
EDEJ,OFFICE OF LEGISLATION AND CONGRESSIONAL AFFAIRS
EDEK,EDUCATION-OFFICE OF FINANCE AND OPERATIONS
EDEN,FEDERAL STUDENT AID
EDEO,OFFICE OF COMMUNICATIONS AND OUTREACH
EDEP,OFFICE OF POSTSECONDARY EDUCATION
EDER,INSTITUTE OF EDUCATION SCIENCES
EDES,OFFICE OF ELEMENTARY AND SECONDARY EDUCATION
EDET,OFFICE OF ENGLISH LANGUAGE ACQUISITION
EDEV,"OFFICE OF CAREER, TECHNICAL, AND ADULT EDUCATION"
EDEZ,NATIONAL ASSESSMENT GOVERNING BOARD
HE10,OFFICE OF THE SECRETARY OF HEALTH AND HUMAN SERVICES
HE11,PROGRAM SUPPORT CENTER
HE12,ADMINISTRATION FOR COMMUNITY LIVING
HE13,OFFICE OF INSPECTOR GENERAL
HE31,OFFICE OF THE ASSISTANT SECRETARY FOR HEALTH
HE32,SUBSTANCE ABUSE AND MENTAL HEALTH SERVICES ADMINISTRATION
HE33,AGENCY FOR HEALTHCARE RESEARCH AND QUALITY
HE34,HEALTH RESOURCES AND SERVICES ADMINISTRATION
HE35,AGENCY FOR TOXIC SUBSTANCES AND DISEASE REGISTRY
HE36,FOOD AND DRUG ADMINISTRATION
HE37,INDIAN HEALTH SERVICE
HE38,NATIONAL INSTITUTES OF HEALTH
HE39,CENTERS FOR DISEASE CONTROL AND PREVENTION
HE50,OFFICE OF MEDICARE HEARINGS AND APPEALS
HE70,CENTERS FOR MEDICARE & MEDICAID SERVICES
HE90,ADMINISTRATION FOR CHILDREN AND FAMILIES
HSAA,DHS HEADQUARTERS
HSAB,CITIZENSHIP AND IMMIGRATION SERVICES
HSAC,U.S. COAST GUARD
HSAD,U.S. SECRET SERVICE
HSAE,OFFICE OF THE INSPECTOR GENERAL
HSBB,IMMIGRATION AND CUSTOMS ENFORCEMENT
HSBC,TRANSPORTATION SECURITY ADMINISTRATION
HSBD,CUSTOMS AND BORDER PROTECTION
HSBE,FEDERAL LAW ENFORCEMENT TRAINING CENTERS
HSCA,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY
HSCB,FEDERAL EMERGENCY MANAGEMENT AGENCY
HSDA,DOMESTIC NUCLEAR DETECTION OFFICE
HSFA,SCIENCE AND TECHNOLOGY DIRECTORATE
HU01,OFFICE OF THE SENIOR COORDINATOR FOR NEW ENGLAND
HU02,OFFICE OF THE SENIOR COORDINATOR FOR NEW YORK/NEW JERSEY
HU03,OFFICE OF THE SENIOR COORDINATOR FOR MID-ATLANTIC
HU04,OFFICE OF THE SENIOR COORDINATOR FOR SOUTHEAST/CARIBBEAN
HU05,OFFICE OF THE SENIOR COORDINATOR FOR MIDWEST
HU06,OFFICE OF THE SENIOR COORDINATOR FOR SOUTHWEST
HU07,OFFICE OF THE SENIOR COORDINATOR FOR GREAT PLAINS
